,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,4943,Dai,DAI,multi-collateral-dai,992,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6982809612.7099495,6982809612.7099495,,14,,,2022-06-10T07:56:00.000Z,1.0000304537997071,182518808.76217014,-2.9999,-0.02269983,-0.00246684,-0.02505819,0.15075929,0.04249301,-0.01850109,6983022265.795288,0.5644,6983022265.8,2022-06-10T07:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-10 08:58:13.208625
14,5805,Avalanche,AVAX,avalanche,266,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280958651.97905225,404229626.49901325,,15,,,2022-06-10T07:56:00.000Z,24.322211223209052,462656073.11223525,-22.8628,-0.52363926,-0.60075919,1.19462414,-31.06355086,-69.63048667,-66.49439162,6833535678.422591,0.5524,17511992080.71,2022-06-10T07:56:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-10 08:58:13.208625
0,1,Bitcoin,BTC,bitcoin,9528,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19063825.0,19063825.0,,1,,,2022-06-10T14:53:00.000Z,29624.01096495756,28582907122.05271,17.9013,0.67767404,-1.67794601,0.50653481,-6.02257195,-27.42578699,-23.83179608,564746960834.0321,46.4979,622104230264.11,2022-06-10T14:53:00.000Z,,,,,,2022-06-10 15:53:18.973282
1,1027,Ethereum,ETH,ethereum,5745,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121120564.374,121120564.374,,2,,,2022-06-10T14:52:00.000Z,1744.1308863763825,15315961467.182274,16.1212,1.03516096,-2.61779089,-0.8789175,-25.88815277,-42.38913114,-32.14069713,211250117300.03232,17.3931,211250117300.03,2022-06-10T14:52:00.000Z,,,,,,2022-06-10 15:53:18.973282
2,825,Tether,USDT,tether,34563,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72497481448.78677,79710622660.05101,,3,,,2022-06-10T14:52:00.000Z,0.9993296687631716,47871639412.06853,3.7434,-0.00282058,-0.00441378,0.00536037,0.02471739,-0.11985621,-0.0788011,72448884122.38026,5.965,79657190139.77,2022-06-10T14:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-10 15:53:18.973282
3,3408,USD Coin,USDC,usd-coin,4353,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53757888070.345085,53757888070.345085,,4,,,2022-06-10T14:52:00.000Z,1.0002350076069169,3914366813.851179,7.8691,0.02569978,-0.00669062,0.0157616,-0.0330888,0.08307189,0.0416879,53770521582.973404,4.4272,53770521582.97,2022-06-10T14:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-10 15:53:18.973282
4,1839,BNB,BNB,bnb,944,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,2022-06-10T14:52:00.000Z,296.666470183567,1180179574.5402007,39.4381,2.14346545,2.35654075,0.08448606,-1.19277965,-26.02862458,-20.95243576,48438803725.733925,3.9874,48984606357.35,2022-06-10T14:52:00.000Z,,,,,,2022-06-10 15:53:18.973282
5,2010,Cardano,ADA,cardano,454,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33752565071.288,34512850428.993,,6,,,2022-06-10T14:52:00.000Z,0.5942427290782449,1084003976.6349332,-18.9501,1.30725632,-7.01057575,9.20435636,-2.38580419,-36.93395263,-24.91458694,20057216381.353226,1.6514,26740922808.52,2022-06-10T14:52:00.000Z,1839.0,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,2022-06-10 15:53:18.973282
6,52,XRP,XRP,xrp,737,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,2022-06-10T14:53:00.000Z,0.3910731403116206,1262376570.011649,28.3722,0.38854285,-2.10336645,0.65028899,-16.41314664,-44.74694332,-50.2150698,18905688397.513256,1.5566,39107314031.16,2022-06-10T14:53:00.000Z,1839.0,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,2022-06-10 15:53:18.973282
7,4687,Binance USD,BUSD,binance-usd,3829,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17977306386.449257,17977306386.449257,,8,,,2022-06-10T14:53:00.000Z,1.000559837814681,4812231028.172437,2.3982,-0.06407727,0.07142354,-0.05042566,-0.18346393,0.01154486,0.04384389,17987370762.370495,1.481,17987370762.37,2022-06-10T14:53:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-10 15:53:18.973282
